"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	18	22952	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"COVID-19"	"U07.1"	11	22952	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	16	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	19	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	19	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	45	117727	38.2
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	33	117727	28.0
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of ovary"	"C56"	10	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	11	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	11	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified dementia"	"F03"	108	117727	91.7
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Parkinson disease"	"G20"	12	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Alzheimer disease, unspecified"	"G30.9"	45	117727	38.2
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Essential (primary) hypertension"	"I10"	12	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	16	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	25	117727	21.2
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	112	117727	95.1
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	15	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Aortic (valve) stenosis"	"I35.0"	11	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Atrial fibrillation and flutter"	"I48"	15	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Cardiac arrhythmia, unspecified"	"I49.9"	26	117727	22.1
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Congestive heart failure"	"I50.0"	12	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Stroke, not specified as haemorrhage or infarction"	"I64"	26	117727	22.1
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pneumonia, unspecified"	"J18.9"	21	117727	17.8
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	42	117727	35.7
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pneumonitis due to food and vomit"	"J69.0"	12	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Urinary tract infection, site not specified"	"N39.0"	18	117727	Unreliable
	"2020"	"2020"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malaise and fatigue"	"R53"	20	117727	17.0
