"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	19	119942	Unreliable
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	10	119942	Unreliable
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	24	119942	20.0
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	78	119942	65.0
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	37	119942	30.8
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of ovary"	"C56"	16	119942	Unreliable
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	25	119942	20.8
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	18	119942	Unreliable
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified dementia"	"F03"	143	119942	119.2
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Parkinson disease"	"G20"	14	119942	Unreliable
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Alzheimer disease, unspecified"	"G30.9"	73	119942	60.9
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Essential (primary) hypertension"	"I10"	21	119942	17.5
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	11	119942	Unreliable
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	13	119942	Unreliable
	"2018"	"2018"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	87	119942	72.5
