"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	18	22665	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	20	119259	16.8
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	15	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	57	119259	47.8
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	31	119259	26.0
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of ovary"	"C56"	13	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	19	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	12	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified dementia"	"F03"	111	119259	93.1
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Alzheimer disease, unspecified"	"G30.9"	67	119259	56.2
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Essential (primary) hypertension"	"I10"	10	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	26	119259	21.8
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	108	119259	90.6
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	10	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Aortic (valve) stenosis"	"I35.0"	10	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Cardiac arrest, unspecified"	"I46.9"	19	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Atrial fibrillation and flutter"	"I48"	17	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Congestive heart failure"	"I50.0"	27	119259	22.6
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Heart failure, unspecified"	"I50.9"	16	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Stroke, not specified as haemorrhage or infarction"	"I64"	20	119259	16.8
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pneumonia, unspecified"	"J18.9"	29	119259	24.3
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	41	119259	34.4
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pneumonitis due to food and vomit"	"J69.0"	12	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malaise and fatigue"	"R53"	16	119259	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	13	20431	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	24	112279	21.4
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	16	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	10	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	62	112279	55.2
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Malignant neoplasm of prostate"	"C61"	20	112279	17.8
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	14	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Unspecified dementia"	"F03"	51	112279	45.4
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Parkinson disease"	"G20"	19	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Alzheimer disease, unspecified"	"G30.9"	26	112279	23.2
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	29	112279	25.8
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	108	112279	96.2
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	16	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Cardiac arrest, unspecified"	"I46.9"	11	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Congestive heart failure"	"I50.0"	20	112279	17.8
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Heart failure, unspecified"	"I50.9"	19	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Stroke, not specified as haemorrhage or infarction"	"I64"	13	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Pneumonia, unspecified"	"J18.9"	24	112279	21.4
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	32	112279	28.5
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Pneumonitis due to food and vomit"	"J69.0"	16	112279	Unreliable
	"2019"	"2019"	"Albany County, NY"	"36001"	"Male"	"M"	"White"	"2106-3"	"Chronic kidney disease, stage 5"	"N18.5"	16	112279	Unreliable
