"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Gender"	"Gender Code"	"Single Race 6"	"Single Race 6 Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Unspecified dementia"	"F03"	11	23475	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	11	23475	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"Black or African American"	"2054-5"	"COVID-19"	"U07.1"	25	23475	106.5
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	27	120920	22.3
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	12	120920	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	31	120920	25.6
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	44	120920	36.4
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	31	120920	25.6
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of ovary"	"C56"	15	120920	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm without specification of site"	"C80"	15	120920	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified diabetes mellitus, without complications"	"E14.9"	11	120920	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Hyperlipidaemia, unspecified"	"E78.5"	12	120920	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Unspecified dementia"	"F03"	108	120920	89.3
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Parkinson disease"	"G20"	17	120920	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Alzheimer disease, unspecified"	"G30.9"	50	120920	41.3
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Essential (primary) hypertension"	"I10"	13	120920	Unreliable
	"2021"	"2021"	"Albany County, NY"	"36001"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	24	120920	19.8
